620,10.5,S
621,14.4542,C
622,52.5542,S
623,15.7417,C
624,7.8542,S
625,16.1,S
626,32.3208,S
627,12.35,Q
628,77.9583,S
629,7.8958,S
630,7.7333,Q
631,30,S
632,7.0542,S
633,30.5,C
634,0,S
635,27.9,S
636,13,S
637,7.925,S
638,26.25,S
639,39.6875,S
640,16.1,S
641,7.8542,S
642,69.3,C
643,27.9,S
644,56.4958,S
645,19.2583,C
646,76.7292,C
647,7.8958,S
648,35.5,C
649,7.55,S
650,7.55,S
651,7.8958,S
652,23,S
653,8.4333,S
654,7.8292,Q
655,6.75,Q
656,73.5,S
657,7.8958,S
658,15.5,Q
659,13,S
660,113.275,C
661,133.65,S
662,7.225,C
663,25.5875,S
664,7.4958,S
665,7.925,S
666,73.5,S
667,13,S
668,7.775,S
669,8.05,S
670,52,S
671,39,S
672,52,S
673,10.5,S
674,13,S
675,0,S
676,7.775,S
677,8.05,S
678,9.8417,S
679,46.9,S
680,512.3292,C
681,8.1375,Q
682,76.7292,C
683,9.225,S
684,46.9,S
685,39,S
686,41.5792,C
687,39.6875,S
688,10.1708,S
689,7.7958,S
690,211.3375,S
691,57,S
692,13.4167,C
693,56.4958,S
694,7.225,C
695,26.55,S
696,13.5,S
697,8.05,S
698,7.7333,Q
699,110.8833,C
700,7.65,S
701,227.525,C
702,26.2875,S
703,14.4542,C
704,7.7417,Q
705,7.8542,S
706,26,S
707,13.5,S
708,26.2875,S
709,151.55,S
710,15.2458,C
711,49.5042,C
712,26.55,S
713,52,S
714,9.4833,S
715,13,S
716,7.65,S
717,227.525,C
718,10.5,S
719,15.5,Q
720,7.775,S
721,33,S
722,7.0542,S
723,13,S
724,13,S
725,53.1,S
726,8.6625,S
727,21,S
728,7.7375,Q
729,26,S
730,7.925,S
731,211.3375,S
732,18.7875,C
733,0,S
734,13,S
735,13,S
736,16.1,S
737,34.375,S
738,512.3292,C
739,7.8958,S
740,7.8958,S
741,30,S
742,78.85,S
743,262.375,C
744,16.1,S
745,7.925,S
746,71,S
747,20.25,S
748,13,S
749,53.1,S
750,7.75,Q
751,23,S
752,12.475,S
753,9.5,S
754,7.8958,S
755,65,S
756,14.5,S
757,7.7958,S
758,11.5,S
759,8.05,S
760,86.5,S
761,14.5,S
762,7.125,S
763,7.2292,C
764,120,S
765,7.775,S
766,77.9583,S
767,39.6,C
768,7.75,Q
769,24.15,Q
770,8.3625,S
771,9.5,S
772,7.8542,S
773,10.5,S
774,7.225,C
775,23,S
776,7.75,S
777,7.75,Q
778,12.475,S
779,7.7375,Q
780,211.3375,S
781,7.2292,C
782,57,S
783,30,S
784,23.45,S
785,7.05,S
786,7.25,S
787,7.4958,S
788,29.125,Q
789,20.575,S
790,79.2,C
791,7.75,Q
792,26,S
793,69.55,S
794,30.6958,C
795,7.8958,S
796,13,S
797,25.9292,S
798,8.6833,S
799,7.2292,C
800,24.15,S
801,13,S
802,26.25,S
803,120,S
804,8.5167,C
805,6.975,S
806,7.775,S
807,0,S
808,7.775,S
809,13,S
810,53.1,S
811,7.8875,S
812,24.15,S
813,10.5,S
814,31.275,S
815,8.05,S
816,0,S
817,7.925,S
818,37.0042,C
819,6.45,S
820,27.9,S
821,93.5,S
822,8.6625,S
823,0,S
824,12.475,S
825,39.6875,S
826,6.95,Q
827,56.4958,S
828,37.0042,C
829,7.75,Q
830,80,
831,14.4542,C
832,18.75,S
833,7.2292,C
834,7.8542,S
835,8.3,S
836,83.1583,C
837,8.6625,S
838,8.05,S
839,56.4958,S
840,29.7,C
841,7.925,S
842,10.5,S
843,31,C
844,6.4375,C
845,8.6625,S
846,7.55,S
847,69.55,S
848,7.8958,C
849,33,S
850,89.1042,C
851,31.275,S
852,7.775,S
853,15.2458,C
854,39.4,S
855,26,S
856,9.35,S
857,164.8667,S
858,26.55,S
859,19.2583,C
860,7.2292,C
861,14.1083,S
862,11.5,S
863,25.9292,S
864,69.55,S
865,13,S
866,13,S
867,13.8583,C
868,50.4958,S
869,9.5,S
870,11.1333,S
871,7.8958,S
872,52.5542,S
873,5,S
874,9,S
875,24,C
876,7.225,C
877,9.8458,S
878,7.8958,S
879,7.8958,S
880,83.1583,C
881,26,S
882,7.8958,S
883,10.5167,S
884,10.5,S
885,7.05,S
886,29.125,Q
887,13,S
888,30,S
889,23.45,S
890,30,C
891,7.75,Q
